id,state,state_abb,state_id,county_id,fips,county,operator,ref,name,sqft,lon,lat,type,population
2744301,New Jersey,NJ,34,23,34023,Middlesex County,,,Verizon,105786,-74.49652096,40.54425558,building,858770
9474864,North Carolina,NC,37,27,37027,Caldwell County,Google,,Google Data Center,3407194,-81.54651453,35.8947377,campus,80705
13924557,Iowa,IA,19,153,19153,Polk County,Microsoft,,Project Alluvion,11169421,-93.71182965,41.51596683,campus,488871
14593270,North Carolina,NC,37,35,37035,Catawba County,,,Apple - Maiden Data Center,5431080,-81.26180877,35.58877136,campus,159852
14930068,New Mexico,NM,35,1,35001,Bernalillo County,Sandia National Laboratories,880,HPC,158463,-106.542822,35.04994198,building,674919
14997588,Virginia,VA,51,87,51087,Henrico County,Meta,,Meta Henrico Data Center,4671056,-77.23645509,37.48276328,campus,331924
15884451,New Jersey,NJ,34,39,34039,Union County,Barclays,,Barclays Datacenter,94373,-74.28548117,40.64375303,building,571963
16282459,Maryland,MD,24,3,24003,Anne Arundel County,AiNET,,CyberNAP Glen Burnie,89879,-76.60643112,39.14024171,building,584064
18518989,Alabama,AL,1,89,01089,Madison County,Meta,,Meta Huntsville Data Center,14435561,-86.6283168,34.84424468,campus,382149
19390019,North Dakota,ND,38,17,38017,Cass County,,,Dakota Carrier Network,25931,-96.84432644,46.81509687,building,182992
19787207,Virginia,VA,51,153,51153,Prince William County,Microsoft,1,Microsoft Data Center 1,248706,-77.58237919,38.80241113,building,477224
19988712,Oregon,OR,41,13,41013,Crook County,Meta,,Meta Prineville Datacenter,17379079,-120.8863823,44.29844323,campus,24300
19993392,Oregon,OR,41,13,41013,Crook County,Apple,,Apple Prineville Datacenter,15637431,-120.8658833,44.28455821,campus,24300
25706343,Texas,TX,48,439,48439,Tarrant County,Cyxtera,,Cyxtera Dallas-Fort Worth Data Center,309104,-97.04104164,32.8327179,building,2091953
28544618,Texas,TX,48,113,48113,Dallas County,Equinix,,Equinix Infomart,239835,-96.81951055,32.80094322,building,2604722
29827954,Massachusetts,MA,25,17,25017,Middlesex County,,BO1,CoreSite BO1,133960,-71.07975762,42.37670588,building,1623411
30666790,California,CA,6,37,06037,Los Angeles County,United States Postal Service,,USPO Terminal Annex,99270,-118.2353929,34.05810224,building,10019635
30827429,Texas,TX,48,113,48113,Dallas County,,,DataBank,43564,-96.79843729,32.77830148,building,2604722
31250931,Ohio,OH,39,165,39165,Warren County,CyrusOne,CIN3,CyrusOne Cincinnati-Mason CIN3,82813,-84.31158,39.30389581,building,239556
31800424,California,CA,6,73,06073,San Diego County,,,LightEdge SAN1,83576,-117.1299339,32.82786552,building,3296317
31803515,California,CA,6,73,06073,San Diego County,EdgeConneX,,EdgeConneX San Diego,39204,-117.169345,32.84230866,building,3296317
32560290,California,CA,6,67,06067,Sacramento County,NTT,CA2,RagingWire CA2,204702,-121.4919461,38.65039953,building,1571767
32560292,California,CA,6,67,06067,Sacramento County,NTT,CA1,RagingWire CA1,192302,-121.4891865,38.65043183,building,1571767
34770750,Georgia,GA,13,121,13121,Fulton County,,,Hewlett-Packard,1294301,-84.26744994,34.08222606,campus,1054286
35491576,California,CA,6,85,06085,Santa Clara County,Equinix,SV1,Equinix SV1,135022,-121.7833201,37.2415868,building,1932022
36897140,Ohio,OH,39,61,39061,Hamilton County,,,,13074,-84.41211321,39.29404818,building,826790
37877544,California,CA,6,85,06085,Santa Clara County,Lumen Technologies,,Lumen Sunnyvale 1,77132,-121.987813,37.37343915,building,1932022
37947313,California,CA,6,85,06085,Santa Clara County,,,OpenColo,65471,-121.9559373,37.37881629,building,1932022
37947314,California,CA,6,85,06085,Santa Clara County,Equinix,SV2,Equinix Santa Clara SV2,81106,-121.9549919,37.37843369,building,1932022
37947315,California,CA,6,85,06085,Santa Clara County,Layer42,,Layer42 Santa Clara,25031,-121.9541511,37.37803995,building,1932022
38305431,California,CA,6,85,06085,Santa Clara County,Digital Realty,,Digital Realty Silicon Valley SJC34,129242,-121.9736195,37.3723882,building,1932022
38305568,California,CA,6,85,06085,Santa Clara County,Csquare,,Csquare SFO1,92193,-121.9696974,37.37151905,building,1932022
38305611,California,CA,6,85,06085,Santa Clara County,Vantage,,,89293,-121.9726929,37.37338591,building,1932022
39083541,Georgia,GA,13,121,13121,Fulton County,,,Strategic Datasphere,127487,-84.2356967,34.0947974,building,1054286
39083797,Georgia,GA,13,121,13121,Fulton County,Flexential,,Flexential Atlanta - Alpharetta Data Center,74814,-84.25175215,34.08700522,building,1054286
