GEO_ID,NAME,POPGROUP,POPGROUP_LABEL,B01003_001E,B01003_001M,,,fips,county,state
Geography,Geographic Area Name,Race/Ethnic Group,Population Groups,Total population,Margin of Error!!Total,state_abbr,,01001,Autauga County,AL
0500000US01001,"Autauga County, Alabama",1,Total population,58239,*****,AL,,01003,Baldwin County,AL
0500000US01003,"Baldwin County, Alabama",1,Total population,227131,*****,AL,,01005,Barbour County,AL
0500000US01005,"Barbour County, Alabama",1,Total population,25259,*****,AL,,01007,Bibb County,AL
0500000US01007,"Bibb County, Alabama",1,Total population,22412,*****,AL,,01009,Blount County,AL
0500000US01009,"Blount County, Alabama",1,Total population,58884,*****,AL,,01011,Bullock County,AL
0500000US01011,"Bullock County, Alabama",1,Total population,10386,*****,AL,,01013,Butler County,AL
0500000US01013,"Butler County, Alabama",1,Total population,19181,*****,AL,,01015,Calhoun County,AL
0500000US01015,"Calhoun County, Alabama",1,Total population,116425,*****,AL,,01017,Chambers County,AL
0500000US01017,"Chambers County, Alabama",1,Total population,34834,*****,AL,,01019,Cherokee County,AL
0500000US01019,"Cherokee County, Alabama",1,Total population,24975,*****,AL,,01021,Chilton County,AL
0500000US01021,"Chilton County, Alabama",1,Total population,44857,*****,AL,,01023,Choctaw County,AL
0500000US01023,"Choctaw County, Alabama",1,Total population,12792,*****,AL,,01025,Clarke County,AL
0500000US01025,"Clarke County, Alabama",1,Total population,23346,*****,AL,,01027,Clay County,AL
0500000US01027,"Clay County, Alabama",1,Total population,14184,*****,AL,,01029,Cleburne County,AL
0500000US01029,"Cleburne County, Alabama",1,Total population,15046,*****,AL,,01031,Coffee County,AL
0500000US01031,"Coffee County, Alabama",1,Total population,53043,*****,AL,,01033,Colbert County,AL
0500000US01033,"Colbert County, Alabama",1,Total population,56789,*****,AL,,01035,Conecuh County,AL
0500000US01035,"Conecuh County, Alabama",1,Total population,11778,*****,AL,,01037,Coosa County,AL
0500000US01037,"Coosa County, Alabama",1,Total population,10442,*****,AL,,01039,Covington County,AL
0500000US01039,"Covington County, Alabama",1,Total population,37490,*****,AL,,01041,Crenshaw County,AL
0500000US01041,"Crenshaw County, Alabama",1,Total population,13300,*****,AL,,01043,Cullman County,AL
0500000US01043,"Cullman County, Alabama",1,Total population,87129,*****,AL,,01045,Dale County,AL
0500000US01045,"Dale County, Alabama",1,Total population,49443,*****,AL,,01047,Dallas County,AL
0500000US01047,"Dallas County, Alabama",1,Total population,39162,*****,AL,,01049,DeKalb County,AL
0500000US01049,"DeKalb County, Alabama",1,Total population,71554,*****,AL,,01051,Elmore County,AL
0500000US01051,"Elmore County, Alabama",1,Total population,87146,*****,AL,,01053,Escambia County,AL
0500000US01053,"Escambia County, Alabama",1,Total population,36879,*****,AL,,01055,Etowah County,AL
0500000US01055,"Etowah County, Alabama",1,Total population,103468,*****,AL,,01057,Fayette County,AL
0500000US01057,"Fayette County, Alabama",1,Total population,16365,*****,AL,,01059,Franklin County,AL
0500000US01059,"Franklin County, Alabama",1,Total population,32034,*****,AL,,01061,Geneva County,AL
0500000US01061,"Geneva County, Alabama",1,Total population,26604,*****,AL,,01063,Greene County,AL
0500000US01063,"Greene County, Alabama",1,Total population,7851,*****,AL,,01065,Hale County,AL
0500000US01065,"Hale County, Alabama",1,Total population,14819,*****,AL,,01067,Henry County,AL
0500000US01067,"Henry County, Alabama",1,Total population,17165,*****,AL,,01069,Houston County,AL
0500000US01069,"Houston County, Alabama",1,Total population,106355,*****,AL,,01071,Jackson County,AL
0500000US01071,"Jackson County, Alabama",1,Total population,52548,*****,AL,,01073,Jefferson County,AL
0500000US01073,"Jefferson County, Alabama",1,Total population,672550,*****,AL,,01075,Lamar County,AL
0500000US01075,"Lamar County, Alabama",1,Total population,13929,*****,AL,,01077,Lauderdale County,AL
0500000US01077,"Lauderdale County, Alabama",1,Total population,93342,*****,AL,,01079,Lawrence County,AL
0500000US01079,"Lawrence County, Alabama",1,Total population,33089,*****,AL,,01081,Lee County,AL
0500000US01081,"Lee County, Alabama",1,Total population,172223,*****,AL,,01083,Limestone County,AL
0500000US01083,"Limestone County, Alabama",1,Total population,101217,*****,AL,,01085,Lowndes County,AL
0500000US01085,"Lowndes County, Alabama",1,Total population,10334,*****,AL,,01087,Macon County,AL
0500000US01087,"Macon County, Alabama",1,Total population,19490,*****,AL,,01089,Madison County,AL
0500000US01089,"Madison County, Alabama",1,Total population,382149,*****,AL,,01091,Marengo County,AL
0500000US01091,"Marengo County, Alabama",1,Total population,19397,*****,AL,,01093,Marion County,AL
0500000US01093,"Marion County, Alabama",1,Total population,29392,*****,AL,,01095,Marshall County,AL
0500000US01095,"Marshall County, Alabama",1,Total population,97179,*****,AL,,01097,Mobile County,AL
0500000US01097,"Mobile County, Alabama",1,Total population,414620,*****,AL,,01099,Monroe County,AL
0500000US01099,"Monroe County, Alabama",1,Total population,20115,*****,AL,,01101,Montgomery County,AL
0500000US01101,"Montgomery County, Alabama",1,Total population,229072,*****,AL,,01103,Morgan County,AL
0500000US01103,"Morgan County, Alabama",1,Total population,122608,*****,AL,,01105,Perry County,AL
0500000US01105,"Perry County, Alabama",1,Total population,8702,*****,AL,,01107,Pickens County,AL
0500000US01107,"Pickens County, Alabama",1,Total population,19240,*****,AL,,01109,Pike County,AL
0500000US01109,"Pike County, Alabama",1,Total population,33176,*****,AL,,01111,Randolph County,AL
0500000US01111,"Randolph County, Alabama",1,Total population,21984,*****,AL,,01113,Russell County,AL
0500000US01113,"Russell County, Alabama",1,Total population,58695,*****,AL,,01115,St. Clair County,AL
0500000US01115,"St. Clair County, Alabama",1,Total population,90412,*****,AL,,01117,Shelby County,AL
0500000US01117,"Shelby County, Alabama",1,Total population,220780,*****,AL,,01119,Sumter County,AL
0500000US01119,"Sumter County, Alabama",1,Total population,12482,*****,AL,,01121,Talladega County,AL
0500000US01121,"Talladega County, Alabama",1,Total population,81850,*****,AL,,01123,Tallapoosa County,AL
